time_day,hour,generation_pv,consumption,surplus,grid consumption,use_power_pv1,use_power_grid1,battery_stat1,en_battery_grid1,en_battery_pv1,en_dump1 
2.0,8426.0,0.0,2915.719816107244,0.0,2915.719816107244,0.0,2915.719816107244,1500.0,0.0,0.0,0.0
3.0,8427.0,0.0,2803.095445527994,0.0,2803.095445527994,0.0,4203.095445527993,2900.0,1400.0,0.0,0.0
4.0,8428.0,0.0,2953.2612729669936,0.0,2953.2612729669936,0.0,4353.261272966994,4300.0,1400.0,0.0,0.0
5.0,8429.0,0.0,2953.2612729669936,0.0,2953.2612729669936,0.0,153.2612729669936,1500.0,0.0,0.0,0.0
6.0,8430.0,0.0,3278.620565751493,0.0,3278.620565751493,0.0,3278.620565751493,1500.0,0.0,0.0,0.0
7.0,8431.0,0.0,3804.200961787992,0.0,3804.200961787992,0.0,3804.200961787992,1500.0,0.0,0.0,0.0
8.0,8432.0,0.0,4404.864271543991,0.0,4404.864271543991,0.0,4404.864271543991,1500.0,0.0,0.0,0.0
9.0,8433.0,374.08965242880004,3929.339151320492,0.0,2058.890889176492,374.08965242880004,3555.249498891692,1500.0,0.0,0.0,0.0
10.0,8434.0,1092.6457161984001,4304.753719917992,0.0,0.0,1092.6457161984001,3212.1080037195925,1500.0,0.0,0.0,0.0
11.0,8435.0,1562.3665548288,4054.477340852992,0.0,0.0,1562.3665548288,2492.110786024192,1500.0,0.0,0.0,0.0
12.0,8436.0,1796.4403683072007,4867.87557281424,0.0,0.0,1796.4403683072007,3071.435204507039,1500.0,0.0,0.0,0.0
13.0,8437.0,1705.0602008832002,5606.190891055988,0.0,0.0,1705.0602008832002,3901.1306901727876,1500.0,0.0,0.0,0.0
14.0,8438.0,1592.6257751040002,6882.600424287486,0.0,0.0,1592.6257751040002,5289.974649183486,1500.0,0.0,0.0,0.0
15.0,8439.0,1180.1095907328001,5631.218528962489,0.0,0.0,1180.1095907328001,4451.108938229689,1500.0,0.0,0.0,0.0
16.0,8440.0,595.0087385088001,5506.080339429988,0.0,2531.036646885988,595.0087385088001,4911.071600921188,1500.0,0.0,0.0,0.0
17.0,8441.0,0.0,5643.7323479157385,0.0,5643.7323479157385,0.0,5643.7323479157385,1500.0,0.0,0.0,0.0
18.0,8442.0,0.0,5393.455968850739,0.0,5393.455968850739,0.0,5393.455968850739,1500.0,0.0,0.0,0.0
19.0,8443.0,0.0,6019.146916513238,0.0,6019.146916513238,0.0,6019.146916513238,1500.0,0.0,0.0,0.0
20.0,8444.0,0.0,7683.484837295484,0.0,7683.484837295484,0.0,7683.484837295484,1500.0,0.0,0.0,0.0
21.0,8445.0,0.0,9472.96094761023,0.0,9472.96094761023,0.0,9472.96094761023,1500.0,0.0,0.0,0.0
22.0,8446.0,0.0,6970.197156960236,0.0,6970.197156960236,0.0,6970.197156960236,1500.0,0.0,0.0,0.0
23.0,8447.0,0.0,6795.003691614736,0.0,6795.003691614736,0.0,6795.003691614736,1500.0,0.0,0.0,0.0
24.0,8448.0,0.0,5030.555219206489,0.0,5030.555219206489,0.0,5030.555219206489,1500.0,0.0,0.0,0.0
1.0,8449.0,0.0,3804.200961787992,0.0,3804.200961787992,0.0,3804.200961787992,1500.0,0.0,0.0,0.0
2.0,8450.0,0.0,3466.3278500502424,0.0,3466.3278500502424,0.0,3466.3278500502424,1500.0,0.0,0.0,0.0
3.0,8451.0,0.0,2990.8027298267434,0.0,2990.8027298267434,0.0,4390.802729826743,2900.0,1400.0,0.0,0.0
4.0,8452.0,0.0,2928.2336350604937,0.0,2928.2336350604937,0.0,4328.233635060494,4300.0,1400.0,0.0,0.0
5.0,8453.0,0.0,2753.040169714994,0.0,2753.040169714994,0.0,0.0,46.959830285005864,0.0,0.0,0.0
6.0,8454.0,0.0,3603.9798585359927,0.0,3603.9798585359927,0.0,3603.9798585359927,46.959830285005864,0.0,0.0,0.0
7.0,8455.0,0.0,3691.5765912087422,0.0,3691.5765912087422,0.0,3691.5765912087422,46.959830285005864,0.0,0.0,0.0
8.0,8456.0,0.0,4605.08537479599,0.0,4605.08537479599,0.0,4605.08537479599,46.959830285005864,0.0,0.0,0.0
9.0,8457.0,220.751723136,4092.018797712741,0.0,2988.260182032741,220.751723136,3871.267074576741,46.959830285005864,0.0,0.0,0.0
10.0,8458.0,360.96839761920006,4004.422065039992,0.0,2199.580076943992,360.96839761920006,3643.453667420792,46.959830285005864,0.0,0.0,0.0
11.0,8459.0,835.3753986816002,5518.594158383238,0.0,1341.7171649752372,835.3753986816002,4683.218759701638,46.959830285005864,0.0,0.0,0.0
12.0,8460.0,806.3881367808001,5380.942149897489,0.0,1349.0014659934886,806.3881367808001,4574.554013116689,46.959830285005864,0.0,0.0,0.0
13.0,8461.0,1650.9350247936004,6031.660735466488,0.0,0.0,1650.9350247936004,4380.725710672888,46.959830285005864,0.0,0.0,0.0
14.0,8462.0,1617.4289634048,7620.915742529233,0.0,0.0,1617.4289634048,6003.486779124433,46.959830285005864,0.0,0.0,0.0
15.0,8463.0,1232.8958632704002,5606.190891055988,0.0,0.0,1232.8958632704002,4373.295027785587,46.959830285005864,0.0,0.0,0.0
16.0,8464.0,704.6984120064001,5931.550183840487,0.0,2408.058123808487,704.6984120064001,5226.851771834087,46.959830285005864,0.0,0.0,0.0
17.0,8465.0,0.0,4192.129349338741,0.0,4192.129349338741,0.0,4192.129349338741,46.959830285005864,0.0,0.0,0.0
18.0,8466.0,0.0,6156.798924998987,0.0,6156.798924998987,0.0,6156.798924998987,46.959830285005864,0.0,0.0,0.0
19.0,8467.0,0.0,6156.798924998987,0.0,6156.798924998987,0.0,6156.798924998987,46.959830285005864,0.0,0.0,0.0
20.0,8468.0,0.0,8559.452164022981,0.0,8559.452164022981,0.0,8559.452164022981,46.959830285005864,0.0,0.0,0.0
21.0,8469.0,0.0,8196.551414378733,0.0,8196.551414378733,0.0,8196.551414378733,46.959830285005864,0.0,0.0,0.0
22.0,8470.0,0.0,6369.533847204236,0.0,6369.533847204236,0.0,6369.533847204236,46.959830285005864,0.0,0.0,0.0
23.0,8471.0,0.0,4354.80899573099,0.0,4354.80899573099,0.0,4354.80899573099,46.959830285005864,0.0,0.0,0.0
24.0,8472.0,0.0,4467.433366310241,0.0,4467.433366310241,0.0,4467.433366310241,46.959830285005864,0.0,0.0,0.0
1.0,8473.0,0.0,4217.156987245241,0.0,4217.156987245241,0.0,4217.156987245241,46.959830285005864,0.0,0.0,0.0
2.0,8474.0,0.0,3266.106746798243,0.0,3266.106746798243,0.0,3266.106746798243,46.959830285005864,0.0,0.0,0.0
3.0,8475.0,0.0,3416.2725742372427,0.0,3416.2725742372427,0.0,4816.272574237242,1446.9598302850059,1400.0,0.0,0.0
4.0,8476.0,0.0,2865.664540294244,0.0,2865.664540294244,0.0,4265.664540294244,2846.959830285006,1400.0,0.0,0.0
5.0,8477.0,0.0,2853.150721340994,0.0,2853.150721340994,0.0,1506.1908910559882,1500.0,0.0,0.0,0.0
6.0,8478.0,0.0,2928.2336350604937,0.0,2928.2336350604937,0.0,2928.2336350604937,1500.0,0.0,0.0,0.0
7.0,8479.0,0.0,2965.7750919202435,0.0,2965.7750919202435,0.0,2965.7750919202435,1500.0,0.0,0.0,0.0
8.0,8480.0,0.0,5393.455968850739,0.0,5393.455968850739,0.0,5393.455968850739,1500.0,0.0,0.0,0.0
9.0,8481.0,159.86508410880003,6707.406958941986,0.0,5908.081538397986,159.86508410880003,6547.541874833186,1500.0,0.0,0.0,0.0
10.0,8482.0,284.7847855104,4717.70974537524,0.0,3293.78581782324,284.7847855104,4432.92495986484,1500.0,0.0,0.0,0.0
11.0,8483.0,312.70092456960003,4605.08537479599,0.0,3041.58075194799,312.70092456960003,4292.38445022639,1500.0,0.0,0.0,0.0
12.0,8484.0,306.07335198720006,4993.013762346739,0.0,3462.6470024107384,306.07335198720006,4686.940410359539,1500.0,0.0,0.0,0.0
13.0,8485.0,276.1153850112,8021.357949033232,0.0,6640.7810239772325,276.1153850112,7745.242564022033,1500.0,0.0,0.0,0.0
14.0,8486.0,424.0977000960001,8146.496138565732,0.0,6026.007638085732,424.0977000960001,7722.398438469731,1500.0,0.0,0.0,0.0
15.0,8487.0,309.3871382784001,5856.467270120987,0.0,4309.531578728987,309.3871382784001,5547.080131842587,1500.0,0.0,0.0,0.0
16.0,8488.0,292.04833728000006,5205.748684551989,0.0,3745.5069981519887,292.04833728000006,4913.700347271989,1500.0,0.0,0.0,0.0
17.0,8489.0,0.0,4379.836633637491,0.0,4379.836633637491,0.0,4379.836633637491,1500.0,0.0,0.0,0.0
18.0,8490.0,0.0,5230.776322458489,0.0,5230.776322458489,0.0,5230.776322458489,1500.0,0.0,0.0,0.0
